date,value
2021-01-01,273
2021-01-02,247
2021-01-03,160
2021-01-04,288
2021-01-05,188
2021-01-06,159
2021-01-07,255
2021-01-08,371
2021-01-09,290
2021-01-10,241
2021-01-11,137
2021-01-12,455
2021-01-13,209
2021-01-14,186
2021-01-15,191
2021-01-16,170
2021-01-17,197
2021-01-18,177
2021-01-19,396
2021-01-20,332
2021-01-21,183
2021-01-22,442
2021-01-23,227
2021-01-24,280
2021-01-25,296
2021-01-26,247
2021-01-27,470
2021-01-28,466
2021-01-29,167
2021-01-30,304
2021-01-31,383
2021-02-01,476
2021-02-02,266
2021-02-03,753
2021-02-04,306
2021-02-05,357
2021-02-06,625
2021-02-07,594
2021-02-08,439
2021-02-09,396
2021-02-10,745
2021-02-11,128
2021-02-12,288
2021-02-13,343
2021-02-14,405
2021-02-15,338
2021-02-16,379
2021-02-17,227
2021-02-18,442
2021-02-19,192
2021-02-20,292
2021-02-21,228
2021-02-22,186
2021-02-23,218
2021-02-24,299
2021-02-25,446
2021-02-26,184
2021-02-27,139
2021-02-28,147
2021-03-01,384
2021-03-02,132
2021-03-03,335
2021-03-04,307
2021-03-05,323
2021-03-06,765
2021-03-07,345
2021-03-08,266
2021-03-09,432
2021-03-10,163
2021-03-11,143
2021-03-12,476
2021-03-13,133
2021-03-14,199
2021-03-15,182
2021-03-16,500
2021-03-17,181
2021-03-18,186
2021-03-19,130
2021-03-20,224
2021-03-21,236
2021-03-22,414
2021-03-23,161
2021-03-24,232
2021-03-25,187
2021-03-26,218
2021-03-27,132
2021-03-28,133
2021-03-29,184
2021-03-30,173
2021-03-31,704
2021-04-01,174
2021-04-02,132
2021-04-03,323
2021-04-04,159
2021-04-05,183
2021-04-06,148
2021-04-07,236
2021-04-08,200
2021-04-09,175
2021-04-10,252
2021-04-11,198
2021-04-12,76
2021-04-13,79
2021-04-14,132
2021-04-15,187
2021-04-16,220
2021-04-17,66
2021-04-18,202
2021-04-19,340
2021-04-20,317
2021-04-21,153
2021-04-22,143
2021-04-23,172
2021-04-24,246
2021-04-25,166
2021-04-26,145
2021-04-27,164
2021-04-28,234
2021-04-29,138
2021-04-30,134
2021-05-01,204
2021-05-02,179
2021-05-03,168
2021-05-04,192
2021-05-05,64
2021-05-06,274
2021-05-07,374
2021-05-08,214
2021-05-09,330
2021-05-10,366
